#rho		xe		Pfmt/Pch	Pfmt/Psal	chip
500.643		0.0595908	0.724275	1.03019		3.393644581001e-2
1001.29		0.0761083	0.775303	1.01471		3.3939535091e-2
5006.44		0.13295		0.862728	1.00163		3.39575175e-2
10012.9		0.168523	0.889304	0.99983		3.39746212995e-2
50064.6		0.290889	0.932355	0.998259	3.4066789303e-2
100130.		0.367459	0.944848	0.998073	3.41494527e-2
500658.		0.630821	0.964183	0.997918	3.45611212e-2
1.00133e6	0.7956		0.969449	0.997913	3.49007919e-2
5.00702e6	1.36236		0.976969	0.997906	3.637589295e-2
1.00146e7	1.71701		0.978772	0.997875	3.7442760401e-2
5.00836e7	2.93718		0.980951	0.997678	4.14583262e-2
1.00182e8	3.70091		0.98131		0.997513	4.40912351e-2
5.01165e8	6.32904		0.981307	0.996875	5.33677524e-2
1.00266e9	7.97425		0.981023	0.996456	5.924061e-2
5.01899e9	13.6361		0.979717	0.99498		7.955998e-2
1.00452e10	17.1805		0.97883		0.99405		9.2312259e-2
3.97079e10	27.1473		0.976293	0.991443	1.2821029e-1
